^fall17
FISC,58,49,3.204,30.6,14.3,26.5,22.4,6.1,0,0,0,0,0,0,0,0,0,0,0,
FOOD SCI,299,15,4.000,93.3,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,
FOOD SCI,301,43,2.953,9.3,27.9,30.2,23.3,4.7,2.3,2.3,0,0,0,0,0,0,0,0,0,
FOOD SCI,324,24,3.021,20.8,25.0,20.8,12.5,16.7,4.2,0,0,0,0,0,0,0,0,0,0,
FOOD SCI,325,49,3.306,36.7,14.3,34.7,2.0,12.2,0,0,0,0,0,0,0,0,0,0,0,
FOOD SCI,375,26,3.985,96.2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FOOD SCI,410,42,2.963,16.7,21.4,23.8,19.0,11.9,4.8,0,2.4,0,0,0,0,0,0,0,0,
FOOD SCI,437,61,3.393,13.1,57.4,24.6,4.9,0,0,0,0,0,0,0,0,0,0,0,0,
FOOD SCI,438,60,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FOOD SCI,440,30,3.517,56.7,16.7,10.0,6.7,10.0,0,0,0,0,0,0,0,0,0,0,0,
FOOD SCI,532,43,3.060,9.3,23.3,39.5,20.9,4.7,0,0,0,0,0,0,0,2.3,0,0,0,
FOOD SCI,535,22,3.176,22.7,13.6,22.7,4.5,13.6,0,0,22.7,0,0,0,0,0,0,0,0,
FOOD SCI,602,33,3.379,27.3,30.3,36.4,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,
FOOD SCI,710,16,3.667,31.3,62.5,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,
FOOD SCI,900,34,4.000,17.6,0,0,0,0,0,0,82.4,0,0,0,0,0,0,0,0,
FOOD SCI,990,38,0.0,0,0,0,0,0,0,0,60.5,0,0,0,39.5,0,0,0,0,
F&W ECOL,100,18,3.833,77.8,11.1,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,101,24,3.688,79.2,4.2,12.5,0,0,0,4.2,0,0,0,0,0,0,0,0,0,
F&W ECOL,110,197,2.945,18.8,20.3,19.8,19.8,13.7,4.6,0.5,1.5,0.5,0,0,0,0.5,0,0,0,
F&W ECOL,248,12,3.208,41.7,8.3,25.0,16.7,0,8.3,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,299,13,3.935,92.3,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,309,13,2.846,15.4,15.4,23.1,15.4,30.8,0,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,318,32,3.016,12.5,34.4,25.0,12.5,9.4,6.3,0,0,0,0,0,0,0,0,0,0,
F&W ECOL,360,72,3.097,29.2,22.2,25.0,8.3,8.3,2.8,4.2,0,0,0,0,0,0,0,0,0,
F&W ECOL,375,66.7,0.0,16.7,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,3.900,
